location,lat,lon
Craig,40.51624284,-107.5427451
Rabbit Ears,40.37574975,-106.727987
Cameron Pass,40.52042194,-105.891998
Fort Collins,40.58316689,-105.0832171
Greeley,40.41634962,-104.7027828
Ft Morgan,40.25370133,-103.8017263
Sterling,40.61736559,-103.1872785
Granby,40.08680586,-105.9356978
Boulder,40.01446111,-105.266599
Douglas Pass,39.59753992,-108.8040157
Rifle,39.53350965,-107.7848681
Glenwood Springs,39.54791419,-107.3312414
Wolcott,39.70186454,-106.6789793
Vail Pass,39.52962745,-106.2163038
Loveland Pass,39.67896289,-105.9174303
Berthoud Pass,39.79790075,-105.7755574
Floyd Hill,39.71696127,-105.3980895
Kenosha Pass,39.41265536,-105.7571906
Denver,39.73940412,-104.9892128
Byers,39.71556057,-104.2306835
Agate,39.44891618,-103.9303131
Burlington,39.30354987,-102.2769576
GJ,39.0740172,-108.5604424
Grand Mesa,39.0421809,-107.9880271
Mcclure Pass,39.12887304,-107.2832533
Aspen,39.19080884,-106.8209675
Independence Pass,39.10835004,-106.5632074
Fairplay,39.22329879,-105.9984998
Castle Rock,39.37209495,-104.8582127
Monument,39.09213921,-104.8621789
Montrose,38.47820505,-107.8770849
Blue Mesa,38.38642714,-107.4310191
Monarch Pass,38.49605667,-106.3258378
Canon City,38.44514293,-105.2307513
Pueblo,38.27053365,-104.6095654
La Junta,37.98750496,-103.5354991
Lamar,38.08217095,-102.6254329
Lizard Head Pass,37.81123933,-107.9071226
Red Mountain Pass,37.89806891,-107.7117484
Lake San Cristobal,37.9852527,-107.2739069
Saguache,38.08737555,-106.1415366
Cortez,37.34926556,-108.5917125
Durango,37.27458631,-107.8807524
Wolf Creek Pass,37.48276882,-106.8028952
Cumbres Pass,37.01953593,-106.4489172
Alamosa,37.46950415,-105.8700096
La Veta Pass,37.61341078,-105.189253
Walsenburg,37.62278282,-104.7801391
Trinidad,37.17024976,-104.5013492
Springfield,37.38342492,-102.6160842
